max_len is 300
Real episode: ep_ret: -816.0090429335971, ep_cost: 0, ep_len: 300
Real episode: ep_ret: -618.7886488096531, ep_cost: 0, ep_len: 300
Real episode: ep_ret: -684.5143435421736, ep_cost: 0, ep_len: 300
Real episode: ep_ret: -663.8085926630132, ep_cost: 0, ep_len: 300
Real episode: ep_ret: -914.5095393602037, ep_cost: 0, ep_len: 300
Real episode: ep_ret: -825.3411932798997, ep_cost: 0, ep_len: 300
Real episode: ep_ret: -910.9183367947983, ep_cost: 0, ep_len: 300
Real episode: ep_ret: -453.5622038477659, ep_cost: 0, ep_len: 300
Real episode: ep_ret: -409.23602374424956, ep_cost: 0, ep_len: 300
Real episode: ep_ret: -482.28377482959803, ep_cost: 0, ep_len: 300
Real episode: ep_ret: -543.0787402348864, ep_cost: 0, ep_len: 300
Real episode: ep_ret: -855.6404042215405, ep_cost: 0, ep_len: 300
Real episode: ep_ret: -922.1720652075292, ep_cost: 0, ep_len: 300
Real episode: ep_ret: -616.2397785690247, ep_cost: 0, ep_len: 300
Real episode: ep_ret: -723.9678761471957, ep_cost: 0, ep_len: 300
Real episode: ep_ret: -586.8924038653846, ep_cost: 0, ep_len: 300
Real episode: ep_ret: -339.95033670060764, ep_cost: 0, ep_len: 300
Real episode: ep_ret: -1021.5485963110788, ep_cost: 0, ep_len: 300
Real episode: ep_ret: -512.480393689346, ep_cost: 0, ep_len: 300
Real episode: ep_ret: -909.7205533746718, ep_cost: 0, ep_len: 300
Real episode: ep_ret: -536.4690824316663, ep_cost: 0, ep_len: 300
Real episode: ep_ret: -469.399244761668, ep_cost: 0, ep_len: 300
Real episode: ep_ret: -668.919085259905, ep_cost: 0, ep_len: 300
Real episode: ep_ret: -441.4778651689407, ep_cost: 0, ep_len: 300
Real episode: ep_ret: -698.1782790750327, ep_cost: 0, ep_len: 300
Real episode: ep_ret: -970.7439452137668, ep_cost: 0, ep_len: 300
Real episode: ep_ret: -542.8156094051867, ep_cost: 0, ep_len: 300
Real episode: ep_ret: -605.2312808232383, ep_cost: 0, ep_len: 300
Real episode: ep_ret: -543.6002038529887, ep_cost: 0, ep_len: 300
Real episode: ep_ret: -704.8466240282758, ep_cost: 0, ep_len: 300
Real episode: ep_ret: -782.7467458584471, ep_cost: 0, ep_len: 300
Real episode: ep_ret: -528.7626418118416, ep_cost: 0, ep_len: 300
Real episode: ep_ret: -737.1740672518343, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: -880.6108335824501, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: -574.4103751506294, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: -902.1254593063331, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: -730.8246512912126, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: -700.2667860895731, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: -830.6468573513713, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: -909.4494968441446, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: -787.1408910044245, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: -993.7157539039757, ep_cost: 0, ep_len: 300
