max_len is 200
Real episode: ep_ret: -1597.869929372165, ep_cost: 161, ep_len: 200
Real episode: ep_ret: -1575.712803340171, ep_cost: 163, ep_len: 200
Real episode: ep_ret: -1374.5465083914894, ep_cost: 151, ep_len: 200
Real episode: ep_ret: -1099.2775284042007, ep_cost: 133, ep_len: 200
Real episode: ep_ret: -1652.3777964986307, ep_cost: 165, ep_len: 200
Real episode: ep_ret: -1773.1879731596148, ep_cost: 171, ep_len: 200
Real episode: ep_ret: -1480.80397812025, ep_cost: 159, ep_len: 200
Real episode: ep_ret: -1291.8821538730317, ep_cost: 152, ep_len: 200
Real episode: ep_ret: -1365.6107236283472, ep_cost: 147, ep_len: 200
Real episode: ep_ret: -1661.3118804865749, ep_cost: 167, ep_len: 200
Real episode: ep_ret: -1635.47140152367, ep_cost: 161, ep_len: 200
Real episode: ep_ret: -1735.5133116081654, ep_cost: 168, ep_len: 200
Real episode: ep_ret: -1017.377615664084, ep_cost: 127, ep_len: 200
Real episode: ep_ret: -1745.9456166037185, ep_cost: 171, ep_len: 200
Real episode: ep_ret: -1611.8992321894175, ep_cost: 167, ep_len: 200
Real episode: ep_ret: -1676.84344308528, ep_cost: 166, ep_len: 200
Real episode: ep_ret: -1750.8322263639877, ep_cost: 171, ep_len: 200
Real episode: ep_ret: -1326.696450619354, ep_cost: 151, ep_len: 200
Real episode: ep_ret: -1605.4525326106411, ep_cost: 162, ep_len: 200
Real episode: ep_ret: -1522.337425283817, ep_cost: 158, ep_len: 200
Real episode: ep_ret: -961.0601089802568, ep_cost: 125, ep_len: 200
Real episode: ep_ret: -1562.2401047050423, ep_cost: 161, ep_len: 200
Real episode: ep_ret: -1115.6809676774367, ep_cost: 133, ep_len: 200
Real episode: ep_ret: -1491.5713819457728, ep_cost: 157, ep_len: 200
Real episode: ep_ret: -1601.2589367508647, ep_cost: 165, ep_len: 200
Real episode: ep_ret: -1678.5273884344108, ep_cost: 166, ep_len: 200
Real episode: ep_ret: -1479.112212703089, ep_cost: 157, ep_len: 200
Real episode: ep_ret: -1593.1401238320302, ep_cost: 162, ep_len: 200
Real episode: ep_ret: -1565.889465884793, ep_cost: 161, ep_len: 200
Real episode: ep_ret: -1612.539059844178, ep_cost: 165, ep_len: 200
Real episode: ep_ret: -1801.7873974012468, ep_cost: 173, ep_len: 200
Real episode: ep_ret: -1458.1370431011414, ep_cost: 155, ep_len: 200
Real episode: ep_ret: -1782.2130459563416, ep_cost: 176, ep_len: 200
Real episode: ep_ret: -1343.9767892234158, ep_cost: 149, ep_len: 200
Real episode: ep_ret: -1625.151291585329, ep_cost: 164, ep_len: 200
Real episode: ep_ret: -1167.349567058066, ep_cost: 138, ep_len: 200
Real episode: ep_ret: -1423.2490202438253, ep_cost: 157, ep_len: 200
Real episode: ep_ret: -1585.5654763614634, ep_cost: 163, ep_len: 200
Real episode: ep_ret: -1652.920002672119, ep_cost: 165, ep_len: 200
Real episode: ep_ret: -1662.0099178399032, ep_cost: 166, ep_len: 200
Real episode: ep_ret: -1774.5258655116636, ep_cost: 174, ep_len: 200
Real episode: ep_ret: -1724.012269024845, ep_cost: 174, ep_len: 200
Real episode: ep_ret: -1839.0923399795174, ep_cost: 174, ep_len: 200
Real episode: ep_ret: -1818.4412670125894, ep_cost: 175, ep_len: 200
Real episode: ep_ret: -1570.9814354546345, ep_cost: 162, ep_len: 200
Real episode: ep_ret: -1434.9326039110765, ep_cost: 153, ep_len: 200
Real episode: ep_ret: -1799.9365127551728, ep_cost: 177, ep_len: 200
Real episode: ep_ret: -1763.7114400218086, ep_cost: 172, ep_len: 200
Real episode: ep_ret: -1652.2542220668367, ep_cost: 163, ep_len: 200
Real episode: ep_ret: -1248.8586305502713, ep_cost: 144, ep_len: 200
Simulated episode: ep_ret: -1770.1252741859762, ep_cost: 171, ep_len: 200
Simulated episode: ep_ret: -1520.126455228797, ep_cost: 172, ep_len: 200
Simulated episode: ep_ret: -1241.7662428364117, ep_cost: 147, ep_len: 200
Simulated episode: ep_ret: -1957.7626899544493, ep_cost: 178, ep_len: 200
Simulated episode: ep_ret: -1623.8462224333941, ep_cost: 166, ep_len: 200
Simulated episode: ep_ret: -1385.7507983851633, ep_cost: 151, ep_len: 200
Simulated episode: ep_ret: -1620.0750121659332, ep_cost: 174, ep_len: 200
Simulated episode: ep_ret: -1684.5058271535856, ep_cost: 168, ep_len: 200
Simulated episode: ep_ret: -1661.6604919930207, ep_cost: 166, ep_len: 200
Simulated episode: ep_ret: -1446.0221495124385, ep_cost: 158, ep_len: 200
Simulated episode: ep_ret: -1645.6473414830855, ep_cost: 173, ep_len: 200
Simulated episode: ep_ret: -1511.3343980065315, ep_cost: 163, ep_len: 200
Simulated episode: ep_ret: -1450.8836756399223, ep_cost: 141, ep_len: 200
Simulated episode: ep_ret: -1575.6200453066117, ep_cost: 163, ep_len: 200
Simulated episode: ep_ret: -1756.4417195233548, ep_cost: 167, ep_len: 200
Simulated episode: ep_ret: -1569.841680894353, ep_cost: 166, ep_len: 200
Simulated episode: ep_ret: -1785.4041032742143, ep_cost: 176, ep_len: 200
