max_len is 100
Real episode: ep_ret: -1949.9632772543926, ep_cost: 65, ep_len: 100
Real episode: ep_ret: -1499.9642349456085, ep_cost: 50, ep_len: 100
Real episode: ep_ret: -1859.9698792481877, ep_cost: 62, ep_len: 100
Real episode: ep_ret: -1769.9687888648705, ep_cost: 59, ep_len: 100
Real episode: ep_ret: -1799.9973874105644, ep_cost: 60, ep_len: 100
Real episode: ep_ret: -1949.9189587550673, ep_cost: 65, ep_len: 100
Real episode: ep_ret: -2009.9630557667542, ep_cost: 67, ep_len: 100
Real episode: ep_ret: -719.7223342034563, ep_cost: 24, ep_len: 100
Real episode: ep_ret: -1049.840048699556, ep_cost: 35, ep_len: 100
Real episode: ep_ret: -929.9377654817658, ep_cost: 31, ep_len: 100
Real episode: ep_ret: -2099.8929476100143, ep_cost: 70, ep_len: 100
Real episode: ep_ret: -1799.9901852971345, ep_cost: 60, ep_len: 100
Real episode: ep_ret: -2069.869696734265, ep_cost: 69, ep_len: 100
Real episode: ep_ret: -2249.990658241103, ep_cost: 75, ep_len: 100
Real episode: ep_ret: -2009.97829236301, ep_cost: 67, ep_len: 100
Real episode: ep_ret: -2129.96158826157, ep_cost: 71, ep_len: 100
Real episode: ep_ret: -2099.9142568384837, ep_cost: 70, ep_len: 100
Real episode: ep_ret: -1649.948297070596, ep_cost: 55, ep_len: 100
Real episode: ep_ret: -2129.9526942771963, ep_cost: 71, ep_len: 100
Real episode: ep_ret: -1679.8046649555226, ep_cost: 56, ep_len: 100
Real episode: ep_ret: -2129.9943675735185, ep_cost: 71, ep_len: 100
Real episode: ep_ret: -1289.8154833757753, ep_cost: 43, ep_len: 100
Real episode: ep_ret: -779.7871164665164, ep_cost: 26, ep_len: 100
Real episode: ep_ret: -1649.7929422031189, ep_cost: 55, ep_len: 100
Real episode: ep_ret: -1139.9030924917809, ep_cost: 38, ep_len: 100
Real episode: ep_ret: -2189.947200645832, ep_cost: 73, ep_len: 100
Real episode: ep_ret: -1289.9352878566287, ep_cost: 43, ep_len: 100
Real episode: ep_ret: -1769.9696940637841, ep_cost: 59, ep_len: 100
Real episode: ep_ret: -2009.9102919847098, ep_cost: 67, ep_len: 100
Real episode: ep_ret: -2159.976116539974, ep_cost: 72, ep_len: 100
Real episode: ep_ret: -1469.981739070647, ep_cost: 49, ep_len: 100
Real episode: ep_ret: -2129.986096751702, ep_cost: 71, ep_len: 100
Real episode: ep_ret: -809.6959217323783, ep_cost: 27, ep_len: 100
Real episode: ep_ret: -2339.9838428352714, ep_cost: 78, ep_len: 100
Real episode: ep_ret: -2219.984682404779, ep_cost: 74, ep_len: 100
Real episode: ep_ret: -1499.9962693786874, ep_cost: 50, ep_len: 100
Real episode: ep_ret: -1529.9978363537439, ep_cost: 51, ep_len: 100
Real episode: ep_ret: -1829.8431393296903, ep_cost: 61, ep_len: 100
