max_len is 100
Real episode: ep_ret: -452.1258744699341, ep_cost: 31, ep_len: 100
Real episode: ep_ret: -458.41216378072176, ep_cost: 26, ep_len: 100
Real episode: ep_ret: -410.133488288893, ep_cost: 42, ep_len: 100
Real episode: ep_ret: -374.46764010581165, ep_cost: 45, ep_len: 100
Real episode: ep_ret: -367.82708803521695, ep_cost: 17, ep_len: 100
Real episode: ep_ret: -455.8178260224731, ep_cost: 34, ep_len: 100
Real episode: ep_ret: -457.5137739761321, ep_cost: 31, ep_len: 100
Real episode: ep_ret: -347.29488254419977, ep_cost: 48, ep_len: 100
Real episode: ep_ret: -355.2947552545355, ep_cost: 47, ep_len: 100
Real episode: ep_ret: -407.11588528721313, ep_cost: 42, ep_len: 100
Real episode: ep_ret: -299.79518710720566, ep_cost: 13, ep_len: 100
Real episode: ep_ret: -447.52477990037414, ep_cost: 36, ep_len: 100
Real episode: ep_ret: -408.0052526759768, ep_cost: 43, ep_len: 100
Real episode: ep_ret: -425.47988017633935, ep_cost: 42, ep_len: 100
Real episode: ep_ret: -355.90029448738625, ep_cost: 16, ep_len: 100
Real episode: ep_ret: -317.19885870822077, ep_cost: 51, ep_len: 100
Real episode: ep_ret: -363.84717236468816, ep_cost: 49, ep_len: 100
Real episode: ep_ret: 3.674409777111391, ep_cost: 0, ep_len: 100
Real episode: ep_ret: -432.8045397096972, ep_cost: 22, ep_len: 100
Real episode: ep_ret: -167.79639666862116, ep_cost: 7, ep_len: 100
Real episode: ep_ret: -397.39443889002996, ep_cost: 19, ep_len: 100
Real episode: ep_ret: -408.2069592094874, ep_cost: 41, ep_len: 100
Real episode: ep_ret: -437.91529908629815, ep_cost: 40, ep_len: 100
Real episode: ep_ret: -439.33119632656894, ep_cost: 36, ep_len: 100
Real episode: ep_ret: -444.9720717600405, ep_cost: 36, ep_len: 100
Real episode: ep_ret: -218.66571446577487, ep_cost: 9, ep_len: 100
Real episode: ep_ret: -399.8505509860514, ep_cost: 42, ep_len: 100
Real episode: ep_ret: -416.0811200813485, ep_cost: 40, ep_len: 100
Real episode: ep_ret: -406.5635312189721, ep_cost: 39, ep_len: 100
Real episode: ep_ret: -116.00153900474618, ep_cost: 5, ep_len: 100
Real episode: ep_ret: -381.9991693715837, ep_cost: 44, ep_len: 100
Real episode: ep_ret: -449.54895739773826, ep_cost: 33, ep_len: 100
Real episode: ep_ret: -457.62375778939014, ep_cost: 27, ep_len: 100
Real episode: ep_ret: -397.7884175699838, ep_cost: 43, ep_len: 100
Real episode: ep_ret: -445.5822992102688, ep_cost: 39, ep_len: 100
Real episode: ep_ret: -409.72718936598704, ep_cost: 43, ep_len: 100
Real episode: ep_ret: -397.485342483031, ep_cost: 45, ep_len: 100
Real episode: ep_ret: -436.33245330953196, ep_cost: 22, ep_len: 100
Real episode: ep_ret: -386.59439495571183, ep_cost: 43, ep_len: 100
Real episode: ep_ret: -402.88183378456216, ep_cost: 43, ep_len: 100
Real episode: ep_ret: -389.9532882960534, ep_cost: 44, ep_len: 100
Real episode: ep_ret: -359.6581070645373, ep_cost: 47, ep_len: 100
Real episode: ep_ret: 0.004155100067846694, ep_cost: 0, ep_len: 100
Real episode: ep_ret: -414.51988232641173, ep_cost: 42, ep_len: 100
Real episode: ep_ret: -439.3037829119577, ep_cost: 37, ep_len: 100
Real episode: ep_ret: -426.0943973907908, ep_cost: 39, ep_len: 100
Real episode: ep_ret: -427.0831663344711, ep_cost: 39, ep_len: 100
Real episode: ep_ret: -460.25036683806115, ep_cost: 31, ep_len: 100
Real episode: ep_ret: -194.02649740491717, ep_cost: 8, ep_len: 100
Real episode: ep_ret: -446.88669587756425, ep_cost: 39, ep_len: 100
Real episode: ep_ret: -438.6585774488675, ep_cost: 38, ep_len: 100
Real episode: ep_ret: -465.16805594176697, ep_cost: 34, ep_len: 100
Real episode: ep_ret: -377.94481994600426, ep_cost: 44, ep_len: 100
Real episode: ep_ret: -237.91596783185673, ep_cost: 10, ep_len: 100
Real episode: ep_ret: -410.614282119528, ep_cost: 42, ep_len: 100
Real episode: ep_ret: -335.6352780276519, ep_cost: 47, ep_len: 100
Real episode: ep_ret: -424.8316906831059, ep_cost: 37, ep_len: 100
Real episode: ep_ret: -326.4955401721977, ep_cost: 48, ep_len: 100
Real episode: ep_ret: -439.28556437836005, ep_cost: 33, ep_len: 100
Real episode: ep_ret: -404.6483329850979, ep_cost: 41, ep_len: 100
Real episode: ep_ret: -347.81254077697037, ep_cost: 48, ep_len: 100
Real episode: ep_ret: -423.9965792956868, ep_cost: 39, ep_len: 100
Real episode: ep_ret: -374.5535419432966, ep_cost: 47, ep_len: 100
Real episode: ep_ret: -367.9828453760247, ep_cost: 46, ep_len: 100
Real episode: ep_ret: -455.88100042741496, ep_cost: 36, ep_len: 100
Real episode: ep_ret: -358.3201989316007, ep_cost: 46, ep_len: 100
Real episode: ep_ret: -425.34493603599213, ep_cost: 39, ep_len: 100
Real episode: ep_ret: 0.23247444093289857, ep_cost: 0, ep_len: 100
Real episode: ep_ret: -374.43531254940046, ep_cost: 46, ep_len: 100
Real episode: ep_ret: -418.29002685617763, ep_cost: 42, ep_len: 100
Real episode: ep_ret: -461.47932341859394, ep_cost: 32, ep_len: 100
Real episode: ep_ret: -341.9556648483772, ep_cost: 50, ep_len: 100
Real episode: ep_ret: -356.7024847112403, ep_cost: 46, ep_len: 100
Real episode: ep_ret: -455.4935466520026, ep_cost: 29, ep_len: 100
Real episode: ep_ret: -425.2024070145869, ep_cost: 38, ep_len: 100
Real episode: ep_ret: -412.9881262715346, ep_cost: 41, ep_len: 100
Real episode: ep_ret: -390.5095016387126, ep_cost: 42, ep_len: 100
Real episode: ep_ret: -406.9090674153462, ep_cost: 20, ep_len: 100
Real episode: ep_ret: -465.73553197410615, ep_cost: 30, ep_len: 100
Real episode: ep_ret: -462.3740340719071, ep_cost: 37, ep_len: 100
Real episode: ep_ret: -352.99379377251626, ep_cost: 49, ep_len: 100
Real episode: ep_ret: -450.39485358010415, ep_cost: 26, ep_len: 100
Real episode: ep_ret: -338.4249687483739, ep_cost: 49, ep_len: 100
Real episode: ep_ret: -440.3900917173885, ep_cost: 37, ep_len: 100
Real episode: ep_ret: -444.7618818915422, ep_cost: 37, ep_len: 100
Real episode: ep_ret: -192.67821319240204, ep_cost: 8, ep_len: 100
Real episode: ep_ret: -332.9566923948481, ep_cost: 15, ep_len: 100
Real episode: ep_ret: -393.27483019933953, ep_cost: 45, ep_len: 100
Real episode: ep_ret: -461.3932897206782, ep_cost: 27, ep_len: 100
Real episode: ep_ret: -429.22306503656915, ep_cost: 41, ep_len: 100
Real episode: ep_ret: -469.1948682558128, ep_cost: 31, ep_len: 100
Real episode: ep_ret: -467.6801699437694, ep_cost: 29, ep_len: 100
Real episode: ep_ret: -364.6526153369825, ep_cost: 46, ep_len: 100
Real episode: ep_ret: -379.725135095852, ep_cost: 44, ep_len: 100
Real episode: ep_ret: -426.3156930769407, ep_cost: 39, ep_len: 100
Real episode: ep_ret: -427.0511093014193, ep_cost: 37, ep_len: 100
Real episode: ep_ret: 4.920664054640838, ep_cost: 0, ep_len: 100
Real episode: ep_ret: -444.27438768231576, ep_cost: 34, ep_len: 100
Real episode: ep_ret: -454.6621396411965, ep_cost: 37, ep_len: 100
Real episode: ep_ret: -464.18821474153253, ep_cost: 27, ep_len: 100
Simulated episode: ep_ret: -479.81433333738835, ep_cost: 16, ep_len: 100
Simulated episode: ep_ret: -1499.9114566881758, ep_cost: 50, ep_len: 100
Simulated episode: ep_ret: -719.9514401733782, ep_cost: 24, ep_len: 100
Simulated episode: ep_ret: -959.973895998118, ep_cost: 32, ep_len: 100
Simulated episode: ep_ret: -1409.897912495104, ep_cost: 47, ep_len: 100
Simulated episode: ep_ret: -629.9450990711891, ep_cost: 21, ep_len: 100
Simulated episode: ep_ret: -1439.892048724951, ep_cost: 48, ep_len: 100
Simulated episode: ep_ret: -1439.902492504386, ep_cost: 48, ep_len: 100
Simulated episode: ep_ret: -1049.975747393176, ep_cost: 35, ep_len: 100
Simulated episode: ep_ret: -1469.8804273493713, ep_cost: 49, ep_len: 100
Simulated episode: ep_ret: -59.99833514526982, ep_cost: 2, ep_len: 100
Simulated episode: ep_ret: -1169.9901766663254, ep_cost: 39, ep_len: 100
Simulated episode: ep_ret: -1049.9460447047556, ep_cost: 35, ep_len: 100
Simulated episode: ep_ret: -539.9652366651208, ep_cost: 18, ep_len: 100
Simulated episode: ep_ret: -869.9428765345575, ep_cost: 29, ep_len: 100
Simulated episode: ep_ret: -1169.9553364232602, ep_cost: 39, ep_len: 100
Simulated episode: ep_ret: -1259.9573652650897, ep_cost: 42, ep_len: 100
Simulated episode: ep_ret: -1169.9915583509037, ep_cost: 39, ep_len: 100
Simulated episode: ep_ret: -1349.887995700029, ep_cost: 45, ep_len: 100
Simulated episode: ep_ret: -1169.9798262742365, ep_cost: 39, ep_len: 100
Simulated episode: ep_ret: -1259.968100856015, ep_cost: 42, ep_len: 100
Simulated episode: ep_ret: -1319.9110585176404, ep_cost: 44, ep_len: 100
Simulated episode: ep_ret: -1319.9926196922636, ep_cost: 44, ep_len: 100
Simulated episode: ep_ret: -1289.8846563500158, ep_cost: 43, ep_len: 100
Simulated episode: ep_ret: -1079.9676921943724, ep_cost: 36, ep_len: 100
Simulated episode: ep_ret: -1499.9597370920078, ep_cost: 50, ep_len: 100
Simulated episode: ep_ret: -1409.9876691418335, ep_cost: 47, ep_len: 100
Simulated episode: ep_ret: -1319.998416940397, ep_cost: 44, ep_len: 100
Simulated episode: ep_ret: -989.9997816678042, ep_cost: 33, ep_len: 100
