max_len is 100
Real episode: ep_ret: -94.65970866800212, ep_cost: 0, ep_len: 100
Real episode: ep_ret: -87.888936608057, ep_cost: 0, ep_len: 100
Real episode: ep_ret: -126.44846350371621, ep_cost: 3, ep_len: 100
Real episode: ep_ret: -145.03211592276128, ep_cost: 5, ep_len: 100
Real episode: ep_ret: -136.43052103509646, ep_cost: 4, ep_len: 100
Real episode: ep_ret: -105.76400089546132, ep_cost: 1, ep_len: 100
Real episode: ep_ret: -113.39702405056619, ep_cost: 1, ep_len: 100
Real episode: ep_ret: -113.35098824588138, ep_cost: 3, ep_len: 100
Real episode: ep_ret: -136.37832171025843, ep_cost: 3, ep_len: 100
Real episode: ep_ret: -141.38845821975116, ep_cost: 4, ep_len: 100
Real episode: ep_ret: -288.2230265338766, ep_cost: 18, ep_len: 100
Real episode: ep_ret: -97.16622225930499, ep_cost: 0, ep_len: 100
Real episode: ep_ret: -105.50905234564905, ep_cost: 1, ep_len: 100
Real episode: ep_ret: -92.46142020148548, ep_cost: 0, ep_len: 100
Real episode: ep_ret: -98.60009366117237, ep_cost: 0, ep_len: 100
Real episode: ep_ret: -150.30736813547148, ep_cost: 5, ep_len: 100
Real episode: ep_ret: -93.74856953010863, ep_cost: 0, ep_len: 100
Real episode: ep_ret: -109.04173192038435, ep_cost: 2, ep_len: 100
Real episode: ep_ret: -149.52079448963207, ep_cost: 6, ep_len: 100
Real episode: ep_ret: -118.97065417814497, ep_cost: 3, ep_len: 100
Real episode: ep_ret: -104.78359247003466, ep_cost: 1, ep_len: 100
Real episode: ep_ret: -106.31402773242682, ep_cost: 1, ep_len: 100
Real episode: ep_ret: -101.16933489412317, ep_cost: 0, ep_len: 100
Real episode: ep_ret: -95.25334911127304, ep_cost: 0, ep_len: 100
Real episode: ep_ret: -134.92061797854777, ep_cost: 5, ep_len: 100
Real episode: ep_ret: -139.33776412127023, ep_cost: 5, ep_len: 100
Real episode: ep_ret: -132.2590443969376, ep_cost: 3, ep_len: 100
Real episode: ep_ret: -98.8531508621711, ep_cost: 0, ep_len: 100
Real episode: ep_ret: -82.4403926231809, ep_cost: 0, ep_len: 100
Real episode: ep_ret: -98.87698040670206, ep_cost: 0, ep_len: 100
Real episode: ep_ret: -139.75948527500978, ep_cost: 5, ep_len: 100
Real episode: ep_ret: -103.90381632331807, ep_cost: 1, ep_len: 100
Real episode: ep_ret: -120.28377542492741, ep_cost: 3, ep_len: 100
Real episode: ep_ret: -142.57374514506583, ep_cost: 4, ep_len: 100
Real episode: ep_ret: -101.404873440205, ep_cost: 0, ep_len: 100
Real episode: ep_ret: -96.2554339142776, ep_cost: 0, ep_len: 100
Real episode: ep_ret: -149.42446338168716, ep_cost: 6, ep_len: 100
Real episode: ep_ret: -116.76558661040802, ep_cost: 1, ep_len: 100
Real episode: ep_ret: -127.35655172288948, ep_cost: 3, ep_len: 100
Real episode: ep_ret: -104.04953076321932, ep_cost: 0, ep_len: 100
Real episode: ep_ret: -100.96513105401043, ep_cost: 0, ep_len: 100
Real episode: ep_ret: -154.2483082436703, ep_cost: 5, ep_len: 100
Real episode: ep_ret: -164.93790137032872, ep_cost: 6, ep_len: 100
Real episode: ep_ret: -91.44909368668307, ep_cost: 0, ep_len: 100
Real episode: ep_ret: -143.78410187873277, ep_cost: 5, ep_len: 100
Real episode: ep_ret: -142.0500281913754, ep_cost: 5, ep_len: 100
Real episode: ep_ret: -145.5006755036301, ep_cost: 5, ep_len: 100
Real episode: ep_ret: -112.77676250010029, ep_cost: 3, ep_len: 100
Real episode: ep_ret: -104.16682346161545, ep_cost: 1, ep_len: 100
Real episode: ep_ret: -127.93394952366606, ep_cost: 4, ep_len: 100
Real episode: ep_ret: -138.57971626195942, ep_cost: 5, ep_len: 100
Real episode: ep_ret: -89.99169093055879, ep_cost: 0, ep_len: 100
Real episode: ep_ret: -106.26917202249113, ep_cost: 1, ep_len: 100
Real episode: ep_ret: -139.75128579883201, ep_cost: 5, ep_len: 100
Real episode: ep_ret: -107.86097352501957, ep_cost: 1, ep_len: 100
Real episode: ep_ret: -101.0104274147958, ep_cost: 0, ep_len: 100
Real episode: ep_ret: -159.46512301934422, ep_cost: 6, ep_len: 100
Real episode: ep_ret: -113.81393360884888, ep_cost: 2, ep_len: 100
Real episode: ep_ret: -132.55710448588857, ep_cost: 4, ep_len: 100
Real episode: ep_ret: -89.70102696690529, ep_cost: 0, ep_len: 100
Real episode: ep_ret: -104.89257575496745, ep_cost: 1, ep_len: 100
Real episode: ep_ret: -133.7076882461291, ep_cost: 5, ep_len: 100
Real episode: ep_ret: -120.47268782907143, ep_cost: 3, ep_len: 100
Real episode: ep_ret: -127.88572082570316, ep_cost: 2, ep_len: 100
Real episode: ep_ret: -129.70509178988735, ep_cost: 5, ep_len: 100
Real episode: ep_ret: -206.96414420253421, ep_cost: 11, ep_len: 100
Real episode: ep_ret: -89.59469016403153, ep_cost: 0, ep_len: 100
Real episode: ep_ret: -124.23849272616943, ep_cost: 2, ep_len: 100
Real episode: ep_ret: -94.97571586528747, ep_cost: 0, ep_len: 100
Real episode: ep_ret: -128.30519632800517, ep_cost: 3, ep_len: 100
Real episode: ep_ret: -128.2906126372875, ep_cost: 2, ep_len: 100
Real episode: ep_ret: -109.46371213246863, ep_cost: 2, ep_len: 100
Real episode: ep_ret: -99.42520644395464, ep_cost: 0, ep_len: 100
Real episode: ep_ret: -103.88758718872775, ep_cost: 1, ep_len: 100
Real episode: ep_ret: -105.78876299322329, ep_cost: 0, ep_len: 100
Real episode: ep_ret: -151.26431268229496, ep_cost: 6, ep_len: 100
Real episode: ep_ret: -125.37673689557177, ep_cost: 2, ep_len: 100
Real episode: ep_ret: -136.147262526178, ep_cost: 5, ep_len: 100
Real episode: ep_ret: -97.25071076405114, ep_cost: 0, ep_len: 100
Real episode: ep_ret: -103.11962498701394, ep_cost: 0, ep_len: 100
Real episode: ep_ret: -180.5126458639332, ep_cost: 7, ep_len: 100
Real episode: ep_ret: -88.90055972128201, ep_cost: 0, ep_len: 100
Real episode: ep_ret: -129.13788401763966, ep_cost: 3, ep_len: 100
Real episode: ep_ret: -107.83143599706507, ep_cost: 1, ep_len: 100
Real episode: ep_ret: -160.05443098739312, ep_cost: 6, ep_len: 100
Real episode: ep_ret: -101.57734463990576, ep_cost: 0, ep_len: 100
Real episode: ep_ret: -105.40438106479567, ep_cost: 1, ep_len: 100
Real episode: ep_ret: -145.64036416307746, ep_cost: 5, ep_len: 100
Real episode: ep_ret: -125.58147482620859, ep_cost: 4, ep_len: 100
Real episode: ep_ret: -148.47629398836065, ep_cost: 6, ep_len: 100
Real episode: ep_ret: -130.5753422989304, ep_cost: 3, ep_len: 100
Real episode: ep_ret: -151.5446912392854, ep_cost: 6, ep_len: 100
Real episode: ep_ret: -140.0307476452304, ep_cost: 5, ep_len: 100
Real episode: ep_ret: -101.96037308146084, ep_cost: 0, ep_len: 100
Real episode: ep_ret: -118.45777334622323, ep_cost: 0, ep_len: 100
Real episode: ep_ret: -140.2120734684682, ep_cost: 5, ep_len: 100
Real episode: ep_ret: -100.5274871961319, ep_cost: 0, ep_len: 100
Real episode: ep_ret: -131.63056943802155, ep_cost: 5, ep_len: 100
Real episode: ep_ret: -112.24691295591965, ep_cost: 1, ep_len: 100
Real episode: ep_ret: -148.30970209118465, ep_cost: 5, ep_len: 100
Simulated episode: ep_ret: -96.11580717775874, ep_cost: 0, ep_len: 100
Simulated episode: ep_ret: -87.08044343876924, ep_cost: 0, ep_len: 100
Simulated episode: ep_ret: -114.38892436633206, ep_cost: 4, ep_len: 100
Simulated episode: ep_ret: -118.80292875634656, ep_cost: 2, ep_len: 100
Simulated episode: ep_ret: -215.13436825853162, ep_cost: 12, ep_len: 100
Simulated episode: ep_ret: -154.08250921513857, ep_cost: 5, ep_len: 100
Simulated episode: ep_ret: -195.41453618542016, ep_cost: 9, ep_len: 100
Simulated episode: ep_ret: -121.77097933320846, ep_cost: 4, ep_len: 100
Simulated episode: ep_ret: -98.78321432406193, ep_cost: 0, ep_len: 100
Simulated episode: ep_ret: -91.5932870532935, ep_cost: 0, ep_len: 100
Simulated episode: ep_ret: -111.35285999251589, ep_cost: 1, ep_len: 100
Simulated episode: ep_ret: -116.50495005026528, ep_cost: 2, ep_len: 100
Simulated episode: ep_ret: -125.24218846713404, ep_cost: 4, ep_len: 100
Simulated episode: ep_ret: -133.86963588935956, ep_cost: 5, ep_len: 100
Simulated episode: ep_ret: -139.0190656204094, ep_cost: 6, ep_len: 100
Simulated episode: ep_ret: -95.58330737112283, ep_cost: 0, ep_len: 100
Simulated episode: ep_ret: -392.6639705609559, ep_cost: 30, ep_len: 100
Simulated episode: ep_ret: -139.9345680977876, ep_cost: 4, ep_len: 100
Simulated episode: ep_ret: -126.13496911364524, ep_cost: 4, ep_len: 100
Simulated episode: ep_ret: -276.27838758730024, ep_cost: 18, ep_len: 100
Simulated episode: ep_ret: -106.6754710353685, ep_cost: 1, ep_len: 100
Simulated episode: ep_ret: -100.90749768139031, ep_cost: 1, ep_len: 100
Simulated episode: ep_ret: -146.4268227337653, ep_cost: 6, ep_len: 100
Simulated episode: ep_ret: -95.40438950756284, ep_cost: 1, ep_len: 100
Simulated episode: ep_ret: -106.62407972244966, ep_cost: 0, ep_len: 100
Simulated episode: ep_ret: -94.61199792170112, ep_cost: 0, ep_len: 100
Simulated episode: ep_ret: -109.00555067199221, ep_cost: 2, ep_len: 100
Simulated episode: ep_ret: -102.81858528740054, ep_cost: 1, ep_len: 100
Simulated episode: ep_ret: -96.05134657276311, ep_cost: 1, ep_len: 100
Simulated episode: ep_ret: -90.07318217405957, ep_cost: 0, ep_len: 100
Simulated episode: ep_ret: -115.1379794162115, ep_cost: 3, ep_len: 100
Simulated episode: ep_ret: -100.14417866432622, ep_cost: 0, ep_len: 100
Simulated episode: ep_ret: -228.4076911057184, ep_cost: 14, ep_len: 100
Simulated episode: ep_ret: -135.07993246531387, ep_cost: 4, ep_len: 100
Simulated episode: ep_ret: -141.9743023660138, ep_cost: 6, ep_len: 100
Simulated episode: ep_ret: -95.96212550383221, ep_cost: 0, ep_len: 100
Simulated episode: ep_ret: -96.55560598431795, ep_cost: 1, ep_len: 100
Simulated episode: ep_ret: -132.4523297645261, ep_cost: 5, ep_len: 100
Simulated episode: ep_ret: -212.78332934650706, ep_cost: 12, ep_len: 100
Simulated episode: ep_ret: -133.23327984785135, ep_cost: 4, ep_len: 100
Simulated episode: ep_ret: -119.92618123241016, ep_cost: 1, ep_len: 100
Simulated episode: ep_ret: -148.79773703241165, ep_cost: 6, ep_len: 100
Simulated episode: ep_ret: -103.3381162842908, ep_cost: 0, ep_len: 100
Simulated episode: ep_ret: -189.9323611070505, ep_cost: 9, ep_len: 100
Simulated episode: ep_ret: -113.38159478146989, ep_cost: 3, ep_len: 100
Simulated episode: ep_ret: -124.33683915264683, ep_cost: 3, ep_len: 100
Simulated episode: ep_ret: -108.12740265111309, ep_cost: 2, ep_len: 100
Simulated episode: ep_ret: -95.47982076514369, ep_cost: 1, ep_len: 100
Simulated episode: ep_ret: -93.0268428467587, ep_cost: 0, ep_len: 100
Simulated episode: ep_ret: -125.76766741652817, ep_cost: 4, ep_len: 100
Simulated episode: ep_ret: -98.92618952908168, ep_cost: 0, ep_len: 100
Simulated episode: ep_ret: -91.90165008770627, ep_cost: 0, ep_len: 100
Simulated episode: ep_ret: -230.2299648590949, ep_cost: 13, ep_len: 100
Simulated episode: ep_ret: -208.31046096930794, ep_cost: 11, ep_len: 100
Simulated episode: ep_ret: -105.13085417010717, ep_cost: 0, ep_len: 100
Simulated episode: ep_ret: -134.10859548044553, ep_cost: 5, ep_len: 100
Simulated episode: ep_ret: -127.22283754983711, ep_cost: 3, ep_len: 100
Simulated episode: ep_ret: -143.33768142827552, ep_cost: 7, ep_len: 100
Simulated episode: ep_ret: -250.08110278345876, ep_cost: 15, ep_len: 100
Simulated episode: ep_ret: -114.99900847368917, ep_cost: 3, ep_len: 100
Simulated episode: ep_ret: -115.41349146732848, ep_cost: 3, ep_len: 100
Simulated episode: ep_ret: -129.51533142342169, ep_cost: 5, ep_len: 100
Simulated episode: ep_ret: -108.220329515362, ep_cost: 2, ep_len: 100
Simulated episode: ep_ret: -123.4873855366219, ep_cost: 3, ep_len: 100
Simulated episode: ep_ret: -156.72373349196076, ep_cost: 4, ep_len: 100
Simulated episode: ep_ret: -136.01845958820692, ep_cost: 5, ep_len: 100
Simulated episode: ep_ret: -104.44030314499953, ep_cost: 1, ep_len: 100
Simulated episode: ep_ret: -91.13899186366902, ep_cost: 0, ep_len: 100
Simulated episode: ep_ret: -109.56487380465921, ep_cost: 1, ep_len: 100
Simulated episode: ep_ret: -103.6204884349504, ep_cost: 1, ep_len: 100
Simulated episode: ep_ret: -102.94398495314793, ep_cost: 1, ep_len: 100
Simulated episode: ep_ret: -105.58692336092962, ep_cost: 1, ep_len: 100
Simulated episode: ep_ret: -130.2332718077097, ep_cost: 4, ep_len: 100
Simulated episode: ep_ret: -141.09809785864712, ep_cost: 5, ep_len: 100
Simulated episode: ep_ret: -148.8314421927666, ep_cost: 6, ep_len: 100
Simulated episode: ep_ret: -95.93565977935573, ep_cost: 1, ep_len: 100
Simulated episode: ep_ret: -124.42018188489664, ep_cost: 3, ep_len: 100
Simulated episode: ep_ret: -141.30976860826442, ep_cost: 5, ep_len: 100
Simulated episode: ep_ret: -107.6354295414863, ep_cost: 3, ep_len: 100
Simulated episode: ep_ret: -242.89762405954963, ep_cost: 15, ep_len: 100
Simulated episode: ep_ret: -87.37116307659548, ep_cost: 0, ep_len: 100
