max_len is 200
Real episode: ep_ret: -5212.792344031589, ep_cost: 0, ep_len: 200
Real episode: ep_ret: -3922.8638780523206, ep_cost: 0, ep_len: 200
Real episode: ep_ret: -5936.6744921008585, ep_cost: 0, ep_len: 200
Real episode: ep_ret: -8306.914171401413, ep_cost: 0, ep_len: 200
Real episode: ep_ret: -4403.606926977656, ep_cost: 0, ep_len: 200
Real episode: ep_ret: -3083.1660899363724, ep_cost: 13, ep_len: 200
Real episode: ep_ret: -4572.301163891245, ep_cost: 0, ep_len: 200
Real episode: ep_ret: -4015.412162429691, ep_cost: 0, ep_len: 200
Real episode: ep_ret: -7304.926110949335, ep_cost: 0, ep_len: 200
Real episode: ep_ret: -6567.916434902785, ep_cost: 0, ep_len: 200
Real episode: ep_ret: -3888.9405973610806, ep_cost: 0, ep_len: 200
Real episode: ep_ret: -3830.984488255037, ep_cost: 0, ep_len: 200
Real episode: ep_ret: -3918.6454545522206, ep_cost: 0, ep_len: 200
Real episode: ep_ret: -3997.5351420760976, ep_cost: 0, ep_len: 200
Real episode: ep_ret: -5852.2151754014085, ep_cost: 0, ep_len: 200
Real episode: ep_ret: -3349.4637261538733, ep_cost: 0, ep_len: 200
Real episode: ep_ret: -2434.3735919638343, ep_cost: 0, ep_len: 200
Real episode: ep_ret: -4361.364346699184, ep_cost: 0, ep_len: 200
Real episode: ep_ret: -5613.122101989502, ep_cost: 0, ep_len: 200
Real episode: ep_ret: -4044.852567460885, ep_cost: 0, ep_len: 200
Real episode: ep_ret: -7044.893781686198, ep_cost: 0, ep_len: 200
Real episode: ep_ret: -4275.906968707257, ep_cost: 0, ep_len: 200
Real episode: ep_ret: -5783.598212955815, ep_cost: 0, ep_len: 200
Real episode: ep_ret: -3784.895607433255, ep_cost: 0, ep_len: 200
Real episode: ep_ret: -7025.519904382232, ep_cost: 0, ep_len: 200
Real episode: ep_ret: -4299.452102359074, ep_cost: 0, ep_len: 200
Real episode: ep_ret: -5709.797470602102, ep_cost: 0, ep_len: 200
Real episode: ep_ret: -4627.522553504234, ep_cost: 0, ep_len: 200
Real episode: ep_ret: -3331.3456725855694, ep_cost: 0, ep_len: 200
Real episode: ep_ret: -3080.1129294978405, ep_cost: 0, ep_len: 200
Real episode: ep_ret: -5201.956415582272, ep_cost: 0, ep_len: 200
Real episode: ep_ret: -7804.207506362956, ep_cost: 0, ep_len: 200
Real episode: ep_ret: -4279.052784975254, ep_cost: 0, ep_len: 200
Real episode: ep_ret: -5409.6781154918435, ep_cost: 0, ep_len: 200
Real episode: ep_ret: -4564.654171601211, ep_cost: 0, ep_len: 200
Real episode: ep_ret: -3513.690072513052, ep_cost: 0, ep_len: 200
Real episode: ep_ret: -6648.465115690069, ep_cost: 0, ep_len: 200
Real episode: ep_ret: -4449.608857871134, ep_cost: 0, ep_len: 200
Real episode: ep_ret: -4131.991540820703, ep_cost: 0, ep_len: 200
Real episode: ep_ret: -7581.968263658835, ep_cost: 0, ep_len: 200
Real episode: ep_ret: -4952.032961031547, ep_cost: 0, ep_len: 200
Real episode: ep_ret: -2360.614956574066, ep_cost: 0, ep_len: 200
Real episode: ep_ret: -4526.242451610455, ep_cost: 0, ep_len: 200
Real episode: ep_ret: -3797.3053542559073, ep_cost: 0, ep_len: 200
Real episode: ep_ret: -2406.969287975928, ep_cost: 0, ep_len: 200
Real episode: ep_ret: -2945.732676848816, ep_cost: 0, ep_len: 200
Real episode: ep_ret: -6445.943313487455, ep_cost: 0, ep_len: 200
Real episode: ep_ret: -6112.87990899351, ep_cost: 0, ep_len: 200
Real episode: ep_ret: -5256.165094374206, ep_cost: 0, ep_len: 200
Real episode: ep_ret: -6773.723184740722, ep_cost: 0, ep_len: 200
Simulated episode: ep_ret: -4782.821297477893, ep_cost: 0, ep_len: 200
Simulated episode: ep_ret: -4994.406101675476, ep_cost: 0, ep_len: 200
Simulated episode: ep_ret: -5585.650961013896, ep_cost: 0, ep_len: 200
Simulated episode: ep_ret: -5658.880002483452, ep_cost: 0, ep_len: 200
Simulated episode: ep_ret: -4978.754986505083, ep_cost: 0, ep_len: 200
Simulated episode: ep_ret: -4736.6298935144505, ep_cost: 0, ep_len: 200
Simulated episode: ep_ret: -4649.197645199339, ep_cost: 0, ep_len: 200
Simulated episode: ep_ret: -6057.157343635404, ep_cost: 0, ep_len: 200
Simulated episode: ep_ret: -6974.875625280824, ep_cost: 0, ep_len: 200
Simulated episode: ep_ret: -3778.563480211677, ep_cost: 0, ep_len: 200
Simulated episode: ep_ret: -7126.227409867053, ep_cost: 0, ep_len: 200
Simulated episode: ep_ret: -6567.283294819833, ep_cost: 0, ep_len: 200
Simulated episode: ep_ret: -2399.337797621551, ep_cost: 0, ep_len: 200
Simulated episode: ep_ret: -6040.862499879513, ep_cost: 0, ep_len: 200
Simulated episode: ep_ret: -5000.2598633260095, ep_cost: 0, ep_len: 200
Simulated episode: ep_ret: -5641.281989379417, ep_cost: 0, ep_len: 200
Simulated episode: ep_ret: -7020.0677327193325, ep_cost: 0, ep_len: 200
Simulated episode: ep_ret: -3489.230110658567, ep_cost: 0, ep_len: 200
Simulated episode: ep_ret: -5346.939778187005, ep_cost: 0, ep_len: 200
Simulated episode: ep_ret: -3400.4237494314248, ep_cost: 0, ep_len: 200
Simulated episode: ep_ret: -3278.934003646577, ep_cost: 0, ep_len: 200
Simulated episode: ep_ret: -4712.577953768015, ep_cost: 0, ep_len: 200
Simulated episode: ep_ret: -5787.316128240418, ep_cost: 0, ep_len: 200
Simulated episode: ep_ret: -5029.844471551631, ep_cost: 0, ep_len: 200
Simulated episode: ep_ret: -4989.895360036419, ep_cost: 0, ep_len: 200
Simulated episode: ep_ret: -5392.321370097406, ep_cost: 0, ep_len: 200
Simulated episode: ep_ret: -2982.415678595638, ep_cost: 0, ep_len: 200
Simulated episode: ep_ret: -4135.13903084741, ep_cost: 0, ep_len: 200
Simulated episode: ep_ret: -5419.042406712259, ep_cost: 0, ep_len: 200
Simulated episode: ep_ret: -3355.6712702290733, ep_cost: 0, ep_len: 200
Simulated episode: ep_ret: -8506.506987493409, ep_cost: 0, ep_len: 200
Simulated episode: ep_ret: -7386.173140659965, ep_cost: 0, ep_len: 200
Simulated episode: ep_ret: -5742.016784961308, ep_cost: 0, ep_len: 200
Simulated episode: ep_ret: -3817.9194477893725, ep_cost: 0, ep_len: 200
Simulated episode: ep_ret: -5494.943786791441, ep_cost: 0, ep_len: 200
Simulated episode: ep_ret: -6598.756996286234, ep_cost: 0, ep_len: 200
Simulated episode: ep_ret: -6795.231975692366, ep_cost: 0, ep_len: 200
Simulated episode: ep_ret: -6902.038630074562, ep_cost: 0, ep_len: 200
Simulated episode: ep_ret: -5574.868965399007, ep_cost: 0, ep_len: 200
Simulated episode: ep_ret: -4819.990782680748, ep_cost: 0, ep_len: 200
Simulated episode: ep_ret: -5184.8359058047, ep_cost: 0, ep_len: 200
Simulated episode: ep_ret: -3475.0487938812753, ep_cost: 0, ep_len: 200
Simulated episode: ep_ret: -3176.8962311094315, ep_cost: 0, ep_len: 200
Simulated episode: ep_ret: -4187.963256265198, ep_cost: 0, ep_len: 200
